Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
HG02490.SG,HG02490,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,PJL.SG,PJL.SG,Yes,..,Pakistan,South Asia,..,..,M,..,J2a1a,automatic,..,1180712,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG02696.SG,HG02696,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,PJL.SG,PJL.SG,Yes,..,Pakistan,South Asia,..,..,M,..,Q1a1b1,automatic,..,1180718,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG02603.SG,HG02603,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,PJL.SG,PJL.SG,Yes,..,Pakistan,South Asia,..,..,M,..,R1a1a1b2a,automatic,..,1181001,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_PRBB-2.SG,PRBB-2,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,PUN.SG,PUN.SG,Yes,Punjabi,India,South Asia,..,..,M,..,R2a,automatic,15.58,1171404,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Punjabi-4.DG,S_Punjabi-4,S_Punjabi-4,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Punjabi.DG,Punjabi.DG,Yes,Lahore,Pakistan,South Asia,31.5,74.3,F,..,n/a (female),n/a (female),34.69,1118456,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Punjabi-1.DG,HG02724,HG02724,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Punjabi.DG,Punjabi.DG,Yes,Lahore,Pakistan,South Asia,31.5,74.3,M,..,J2a1,automatic,34.65,1119219,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Punjabi-3.DG,HG02790,HG02790,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Punjabi.DG,Punjabi.DG,Yes,Lahore,Pakistan,South Asia,31.5,74.3,F,..,n/a (female),n/a (female),33.86,1120491,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Punjabi-2.DG,HG02783,HG02783,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Punjabi.DG,Punjabi.DG,Yes,Lahore,Pakistan,South Asia,31.5,74.3,M,..,R2a3a2b2c,automatic,38.93,1120608,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-15.SG,RAI-15,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,J,automatic,16.82,1132405,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-13.SG,RAI-13,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,H3a2,automatic,17.47,1137834,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-8.SG,RAI-8,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,E,automatic,14.92,1141086,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-11.SG,RAI-11,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,BT,automatic,14.66,1146210,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-4.SG,RAI-4,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,C1b1a1a1,automatic,15.75,1154536,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-2.SG,RAI-2,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,H1a1d2a,automatic,16.36,1157542,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-3.SG,RAI-3,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,BT,automatic,17.35,1161281,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-9.SG,RAI-9,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,J2b2,automatic,12.96,1163807,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-12.SG,RAI-12,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,H1a1d2b3a1a1,automatic,17.18,1167311,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RAI-5.SG,RAI-5,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RAJ.SG,RAJ.SG,Yes,Rajput,India,South Asia,..,..,M,..,R1a1a1b2a2a,automatic,13.67,1172357,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Relli-2.DG,S_Relli-2,S_Relli-2,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Relli.DG,Relli.DG,Yes,Visakhapatnam,India,South Asia,17.72,83.32,M,..,H1a1d1,automatic,48.96,1120180,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Relli-1.DG,S_Relli-1,S_Relli-1,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Relli.DG,Relli.DG,Yes,Visakhapatnam,India,South Asia,17.72,83.32,M,..,R1a1a1b2a1a,automatic,46.13,1120230,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-24.SG,RIA-24,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,O2a2b1a1a6,automatic,16.6,1128130,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-45.SG,RIA-45,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,C2,automatic,16.18,1133664,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-41.SG,RIA-41,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,J,automatic,17.34,1135043,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-14.SG,RIA-14,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,C2,automatic,22.99,1141073,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-63.SG,RIA-63,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,O2a2b1a1a6a,automatic,15.39,1157814,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-42.SG,RIA-42,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,O2a2b1a1a6b3,automatic,14.99,1157876,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-23.SG,RIA-23,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,BT,automatic,19.35,1162033,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-19.SG,RIA-19,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,O2a2b1a1a6b,automatic,19.79,1166459,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-20.SG,RIA-20,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,O2a2b1a1a6b,automatic,22.94,1168447,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
mondal_RIA-12.SG,RIA-12,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,MondalNatureGenetics2016,n/a (modern),0,present,PD,RIA.SG,RIA.SG,Yes,Riang,India,South Asia,..,..,M,..,O1b1a1a1b1a,automatic,20.85,1169085,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
T_Sherpa-1.DG,T_Sherpa-1,T_Sherpa-1,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (previously reported),0,present,PD,Sherpa.DG,Sherpa.DG,Yes,Khumbu,Nepal,East Asia,27.81666667,86.66666667,M,..,O2a2b1a1a6a,automatic,31.97,1119020,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
T_Sherpa-2.DG,T_Sherpa-2,T_Sherpa-2,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (previously reported),0,present,PD,Sherpa.DG,Sherpa.DG,Yes,Khumbu,Nepal,East Asia,27.81666667,86.66666667,F,..,n/a (female),n/a (female),48.89,1119027,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Sindhi-1.DG,HGDP00208,HGDP00208,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Sindhi.DG,Sindhi.DG,Yes,..,Pakistan,South Asia,25.49063551,69,M,..,R1a1a1b2a1a,automatic,39.87,1117391,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
S_Sindhi-2.DG,HGDP00195,HGDP00195,n/a,Shotgun data with diploid genotype calls,no 14C date,MallickNature2016,n/a (modern),0,present,PD,Sindhi.DG,Sindhi.DG,Yes,..,Pakistan,South Asia,25.49063551,69,F,..,n/a (female),n/a (female),38.9,1119324,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03989.SG,HG03989,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1108592,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04042.SG,HG04042,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1120733,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04029.SG,HG04029,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1122819,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04038.SG,HG04038,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1123097,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04099.SG,HG04099,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1124812,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03955.SG,HG03955,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1130342,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03690.SG,HG03690,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1132226,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03944.SG,HG03944,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1132878,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03895.SG,HG03895,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1133203,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03698.SG,HG03698,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1133777,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03645.SG,HG03645,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1134824,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04035.SG,HG04035,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1135414,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03894.SG,HG03894,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1136513,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03947.SG,HG03947,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1137527,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04047.SG,HG04047,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1137629,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03897.SG,HG03897,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1137684,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03998.SG,HG03998,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,J2b2,automatic,..,1138089,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03733.SG,HG03733,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1139482,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03736.SG,HG03736,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1139870,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04075.SG,HG04075,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1140482,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03691.SG,HG03691,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,R2a3a2b2c,automatic,..,1140484,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04106.SG,HG04106,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1141603,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03995.SG,HG03995,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1141743,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03752.SG,HG03752,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1141811,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03949.SG,HG03949,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1142090,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03990.SG,HG03990,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,L1a1,automatic,..,1144208,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03945.SG,HG03945,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1144275,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03836.SG,HG03836,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1144891,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03760.SG,HG03760,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1145046,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03985.SG,HG03985,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,M,..,H1a1d2c1b1a,automatic,..,1146345,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03886.SG,HG03886,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1146459,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03689.SG,HG03689,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1146696,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03951.SG,HG03951,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1147004,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03857.SG,HG03857,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1147296,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03888.SG,HG03888,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1147761,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG04227.SG,HG04227,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1148158,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03884.SG,HG03884,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1148834,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03986.SG,HG03986,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1148946,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
HG03858.SG,HG03858,..,..,Shotgun data with a random sequence representing each nucleotide,no 14C date,1KGPhase3,n/a (modern),0,present,PD,STU.SG,STU.SG,Yes,Tamils sampled from Great Britain,Sri Lanka,South Asia,..,..,F,..,n/a (female),n/a (female),..,1149013,n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),n/a (modern),PASS
